step,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,OrigBalanceDiff,DestBalanceDiff,hourOfDay,highValue,type_CASH_OUT,type_PAYMENT,type_TRANSFER,isFraud
584,26435.1,0.0,0.0,3902110.5,4705218.5,35725.2,-216099.23,6,0,1,0,0,1
584,132346.97,87848.9,2812.0,3842617.2,4511236.0,307731.1,-245992.1,12,0,1,0,0,1
584,113031.72,0.0,0.0,3606568.8,3868951.2,534656.1,-152539.53,18,0,1,0,0,1
584,244534.6,170189.4,0.0,3806420.2,4498260.0,161942.95,-247594.45,5,0,1,0,0,1
584,152999.1,15714.64,0.0,3809982.0,4432943.0,282766.72,-247649.12,14,0,1,0,0,1
584,22359.84,0.0,79786.51,3801690.2,4295899.5,525009.94,-93090.34,18,0,1,0,0,1
584,262997.84,130694.9,0.0,3717175.8,4261956.5,112892.83,-304681.1,5,0,1,0,0,1
584,0.0,0.0,0.0,3962264.0,4935187.0,0.0,-88357.71,8,0,1,0,0,1
584,57403.1,0.0,0.0,3925055.2,4762757.0,253268.08,-210815.6,13,0,1,0,0,1
584,27130.97,0.0,92888.66,3899989.0,4660458.0,546015.1,-99596.02,18,0,1,0,0,1
584,161886.84,36896.14,19353.35,3918611.2,4761315.0,145723.95,-238025.45,6,0,1,0,0,1
584,50499.1,0.0,87805.83,3974021.0,4985376.0,412813.84,-143894.1,18,0,1,0,0,1
584,0.0,0.0,29125.72,3863784.0,4570282.5,251210.7,-151903.84,13,0,1,0,0,1
584,264698.84,113654.65,1443.55,3676781.5,4002807.0,513454.2,-270683.75,16,0,1,0,0,1
584,74211.34,126324.9,0.0,3970853.5,5006456.0,0.0,-341656.4,5,0,1,0,0,1
584,147728.72,47582.14,0.0,3882574.0,4660805.0,30233.7,-306753.22,5,0,1,0,0,1
584,149878.47,0.0,60432.83,3801428.5,4375129.0,674284.06,-156423.22,18,0,1,0,0,1
584,209491.84,0.0,0.0,3776823.8,4363384.5,214413.45,-219636.78,6,0,1,0,0,1
584,157984.47,79270.15,0.0,3881384.8,4655654.5,0.0,-330994.16,5,0,1,0,0,1
584,101281.34,0.0,30263.97,3883576.8,4637521.5,319857.84,-198152.05,15,0,1,0,0,1
584,94182.97,0.0,21252.21,3894715.8,4676042.5,207182.2,-211298.0,11,0,1,0,0,1
584,0.0,0.0,0.0,3960926.5,4904458.0,260818.7,-71381.78,18,0,1,0,0,1
584,221133.95,143732.14,0.0,3869701.8,4625577.5,25678.33,-302249.75,5,0,1,0,0,1
584,89414.97,0.0,5831.63,3894151.8,4716427.5,179197.45,-190172.4,8,0,1,0,0,1
584,266700.72,0.0,41606.19,3844546.0,4506454.5,308703.22,-241816.95,10,0,1,0,0,1
584,77536.1,0.0,99897.26,3939805.0,4820351.5,486062.2,-122383.9,18,0,1,0,0,1
584,95774.84,0.0,69224.8,3668011.0,3856110.0,813170.25,-117075.02,18,0,1,0,0,1
584,58422.97,0.0,0.0,3881637.5,4690789.0,162623.08,-173093.95,7,0,1,0,0,1
584,295126.22,135422.14,9635.41,3690883.0,4135522.2,451714.72,-270468.16,11,0,1,0,0,1
584,73188.34,0.0,40971.9,3804355.8,4358093.0,441846.62,-111198.15,18,0,1,0,0,1
584,0.0,0.0,85177.93,3957255.2,4896819.0,374377.84,-58721.96,18,0,1,0,0,1
584,0.0,0.0,2028.8,3966390.0,4977106.5,95689.33,-167665.9,6,0,1,0,0,1
584,0.0,0.0,0.0,3910357.8,4677793.5,286646.84,-146318.4,17,0,1,0,0,1
584,102794.84,0.0,22229.44,3958517.0,4945865.5,188965.95,-244300.16,8,0,1,0,0,1
584,183082.84,94282.15,0.0,3882009.5,4613119.0,158774.45,-251658.31,6,0,1,0,0,1
584,153197.72,28398.65,0.0,3899669.8,4722615.5,69657.58,-257605.31,5,0,1,0,0,1
584,0.0,0.0,23685.63,3942593.5,4853833.0,442421.62,-94264.52,18,0,1,0,0,1
584,225957.84,1344.4,26811.64,3803647.2,4355638.5,430409.03,-199273.34,17,0,1,0,0,1
584,103208.22,92858.77,26031.5,3752156.2,4269414.5,366889.84,-169910.4,16,0,1,0,0,1
584,40578.72,0.0,0.0,3969033.0,4991047.0,53630.2,-236688.56,5,0,1,0,0,1
584,0.0,0.0,168964.28,3868719.8,4446742.0,1071680.9,14362.85,18,0,1,0,0,1
584,0.0,0.0,6700.86,3912381.5,4767885.0,0.0,-215210.06,5,0,1,0,0,1
584,102627.59,27352.15,0.0,3862987.5,4595382.0,4759.95,-285398.22,5,0,1,0,0,1
584,147807.22,0.0,48200.27,3868004.2,4536108.5,548106.56,-137931.22,18,0,1,0,0,1
584,253000.6,111951.27,0.0,3857200.8,4560375.0,113290.7,-343630.47,5,0,1,0,0,1
584,278312.72,171777.77,0.0,3689310.8,4144287.2,193242.45,-323250.2,6,0,1,0,0,1
584,152797.34,0.0,25314.4,3810493.5,4452322.0,369977.97,-161097.1,12,0,1,0,0,1
584,0.0,0.0,0.0,3957946.0,4910246.0,39195.33,-191134.45,6,0,1,0,0,1
584,87850.09,0.0,0.0,3962982.8,4985255.0,0.0,-286948.34,5,0,1,0,0,1
584,54896.72,0.0,0.0,3866547.8,4526076.5,353195.6,-178562.28,17,0,1,0,0,1
