step,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,OrigBalanceDiff,DestBalanceDiff,hourOfDay,highValue,type_CASH_OUT,type_PAYMENT,type_TRANSFER,isFraud
47,388268.45,6357519.53,6745787.98,3853772.93,3465504.48,-388268.4500000002,388268.4500000002,23,1,0,0,0,0
184,292725.93,9000.0,301725.93,1339497.17,1046771.25,-292725.93,292725.9199999999,16,0,0,0,0,0
36,55479.08,0.0,0.0,0.0,0.0,0.0,0.0,12,0,0,1,0,0
284,176802.98,80965.0,0.0,0.0,176802.98,80965.0,-176802.98,20,0,1,0,0,0
42,3569720.42,3569720.42,0.0,0.0,3569720.42,3569720.42,-3569720.42,18,1,1,0,0,1
404,88205.52,0.0,0.0,372806.11,372063.16,0.0,742.9500000000116,20,0,1,0,0,0
242,3858.07,3098.0,0.0,0.0,0.0,3098.0,0.0,2,0,0,1,0,0
40,108004.93,10904.0,118908.93,0.0,0.0,-108004.93,0.0,16,0,0,0,0,0
638,1559540.62,1559540.62,0.0,100482.9,1660023.52,1559540.62,-1559540.62,14,1,1,0,0,1
357,180443.15,12627.0,0.0,0.0,180443.15,12627.0,-180443.15,21,0,1,0,0,0
178,21150.11,72374.0,51223.89,0.0,0.0,21150.11,0.0,10,0,0,1,0,0
284,7876.49,0.0,0.0,0.0,0.0,0.0,0.0,20,0,0,1,0,0
401,32622.59,300310.9,267688.31,0.0,0.0,32622.590000000026,0.0,17,0,0,1,0,0
401,245531.42,32037.0,0.0,2607461.85,2852993.27,32037.0,-245531.41999999995,17,0,1,0,0,0
277,863084.31,0.0,0.0,5999315.75,6862400.07,0.0,-863084.3200000003,13,1,0,0,1,0
705,62898.81,62898.81,0.0,0.0,0.0,62898.81,0.0,9,0,0,0,1,1
165,13743.61,276453.67,262710.07,0.0,0.0,13743.599999999977,0.0,21,0,0,1,0,0
42,3186.54,445322.16,442135.63,0.0,0.0,3186.5299999999697,0.0,18,0,0,1,0,0
447,219178.49,219178.49,0.0,0.0,0.0,219178.49,0.0,15,0,0,0,1,1
286,132943.98,132943.98,0.0,0.0,0.0,132943.98,0.0,22,0,0,0,1,1
509,120411.9,120411.9,0.0,699540.99,819952.88,120411.9,-120411.89,5,0,1,0,0,1
17,111666.06,29089.91,0.0,0.0,111666.06,29089.91,-111666.06,17,0,1,0,0,0
258,2349.17,0.0,0.0,0.0,0.0,0.0,0.0,18,0,0,1,0,0
259,60120.15,1430770.14,1490890.29,2077730.01,2017609.86,-60120.15000000014,60120.14999999991,19,0,0,0,0,0
641,19646.09,19646.09,0.0,0.0,0.0,19646.09,0.0,17,0,0,0,1,1
164,3056.01,0.0,0.0,0.0,0.0,0.0,0.0,20,0,0,1,0,0
513,100762.66,100762.66,0.0,0.0,0.0,100762.66,0.0,9,0,0,0,1,1
552,492003.04,492003.04,0.0,0.0,0.0,492003.04,0.0,0,1,0,0,1,1
31,587031.2,587031.2,0.0,338247.75,925278.94,587031.2,-587031.19,7,1,1,0,0,1
210,7690.15,14330.0,6639.85,0.0,0.0,7690.15,0.0,18,0,0,1,0,0
355,1109339.82,0.0,0.0,79965.95,1189305.76,0.0,-1109339.81,19,1,0,0,1,0
395,134297.68,134297.68,0.0,419490.33,553788.01,134297.68,-134297.68,11,0,1,0,0,1
79,1619331.51,1619331.51,0.0,0.0,0.0,1619331.51,0.0,7,1,0,0,1,1
181,142772.32,0.0,0.0,1483475.55,1626247.86,0.0,-142772.31000000006,13,0,1,0,0,0
135,13722.64,4390752.84,4404475.49,53488.04,39765.4,-13722.650000000373,13722.64,15,0,0,0,0,0
256,11198.72,304424.13,293225.41,0.0,0.0,11198.72000000003,0.0,16,0,0,1,0,0
380,175997.42,0.0,0.0,546351.54,722348.96,0.0,-175997.41999999993,20,0,1,0,0,0
62,724414.43,724414.43,0.0,223853.38,948267.81,724414.43,-724414.43,14,1,1,0,0,1
134,120007.13,11266.0,0.0,0.0,120007.13,11266.0,-120007.13,14,0,1,0,0,0
235,1369544.19,1369544.19,0.0,571360.19,1940904.38,1369544.19,-1369544.19,19,1,1,0,0,1
233,64072.45,3935.0,68007.45,0.0,0.0,-64072.45,0.0,17,0,0,0,0,0
131,600040.36,187.0,0.0,0.0,582572.01,187.0,-582572.01,11,1,1,0,0,0
329,298682.9,473711.56,175028.66,1917702.27,2216385.17,298682.9,-298682.8999999999,17,0,1,0,0,0
263,117954.2,36105.51,0.0,6915549.58,7033503.78,36105.51,-117954.2000000002,23,0,1,0,0,0
275,507630.72,7563.17,0.0,894106.26,1401736.98,7563.17,-507630.72,11,1,0,0,1,0
9,67317.46,21790.0,0.0,7894.0,75211.46,21790.0,-67317.46,9,0,1,0,0,0
452,1138384.29,1138384.29,0.0,0.0,0.0,1138384.29,0.0,20,1,0,0,1,1
353,17671.02,57343.0,39671.98,0.0,0.0,17671.019999999997,0.0,17,0,0,1,0,0
250,114827.36,114827.36,0.0,0.0,0.0,114827.36,0.0,10,0,0,0,1,1
40,3337.13,377138.48,373801.34,0.0,0.0,3337.139999999956,0.0,16,0,0,1,0,0
206,95028.41,638.0,0.0,54584.92,149613.33,638.0,-95028.41,14,0,1,0,0,0
143,1822754.86,1822754.86,0.0,0.0,0.0,1822754.86,0.0,23,1,0,0,1,1
35,384553.76,586.0,0.0,0.0,384553.76,586.0,-384553.76,11,1,1,0,0,0
252,711.96,25557.0,24845.04,0.0,0.0,711.9599999999991,0.0,12,0,0,1,0,0
216,217563.45,0.0,0.0,388156.65,605720.11,0.0,-217563.46,0,0,1,0,0,0
228,272421.24,0.0,0.0,2123798.96,2396220.2,0.0,-272421.2400000002,12,0,1,0,0,0
226,26800.43,20640.0,0.0,0.0,0.0,20640.0,0.0,10,0,0,1,0,0
426,176003.48,5764.0,181767.48,82505.1,0.0,-176003.48,82505.1,18,0,0,0,0,0
404,100728.7,146469.26,45740.56,120318.61,221047.31,100728.7,-100728.7,20,0,1,0,0,0
332,6977.21,30337.0,23359.79,0.0,0.0,6977.209999999999,0.0,20,0,0,1,0,0
334,20390.73,171.0,0.0,0.0,0.0,171.0,0.0,22,0,0,1,0,0
131,24182.12,1389.0,0.0,2069312.8,2093494.92,1389.0,-24182.11999999988,11,0,1,0,0,0
701,74581.07,74581.07,0.0,0.0,0.0,74581.07,0.0,5,0,0,0,1,1
350,24804.32,22031.0,0.0,0.0,0.0,22031.0,0.0,14,0,0,1,0,0
42,382569.12,22243.0,404812.12,3313407.0,2930837.89,-382569.12,382569.1099999999,18,1,0,0,0,0
156,28492.32,337593.45,309101.13,0.0,0.0,28492.320000000007,0.0,12,0,0,1,0,0
234,145106.24,0.0,0.0,1775417.61,1920523.85,0.0,-145106.24,18,0,1,0,0,0
117,149279.69,149279.69,0.0,0.0,0.0,149279.69,0.0,21,0,0,0,1,1
161,204972.67,0.0,0.0,4725312.38,4930285.05,0.0,-204972.66999999995,17,0,1,0,0,0
269,278619.91,278619.91,0.0,707791.17,986411.08,278619.91,-278619.9099999999,5,0,1,0,0,1
227,87026.33,122922.0,209948.33,213975.04,126948.71,-87026.32999999999,87026.33,11,0,0,0,0,0
275,292939.01,10354.0,0.0,230454.82,523393.83,10354.0,-292939.01,11,0,1,0,0,0
230,48078.85,48078.85,0.0,288760.9,336839.74,48078.85,-48078.83999999997,14,0,1,0,0,1
741,144945.34,144945.34,0.0,0.0,144945.34,144945.34,-144945.34,21,0,1,0,0,1
464,125464.42,125464.42,0.0,332131.92,457596.34,125464.42,-125464.42000000004,8,0,1,0,0,1
579,150157.6,150157.6,0.0,7532593.13,7682750.73,150157.6,-150157.60000000056,3,0,1,0,0,1
262,1788.91,244123.0,242334.09,0.0,0.0,1788.9100000000035,0.0,22,0,0,1,0,0
